Sentences	Missing Words:
14	156	KH-CN bai 03.xlsx
34	225	KH-CN bai 04.xlsx
14	122	KH-CN bai 05.xlsx
9	66	KH-CN bai 06.xlsx
115	389	KH-CN bai 07.xlsx
21	210	KH-CN bai 08.xlsx
70	485	KH-CN bai 09.xlsx
88	385	KH-CN bai 10.xls
50	298	KH-CN bai 11.xlsx
31	207	KH-CN bai 12.xlsx
96	391	KH-CN bai 13.xlsx
47	282	KH-CN bai 14.xlsx
27	191	KH-CN bai 15.xlsx
41	274	KH-CN bai 16.xlsx
32	333	KH-CN bai 18.xlsx
69	441	KH-CN bai 19.xlsx
54	259	KH-CN bai 20.xlsx
16	132	KH-CN bai 21.xlsx
24	337	KH-CN bai 22.xlsx
32	379	KH-CN bai 23.xlsx
69	266	KH-CN bai 24.xlsx
45	395	KH-CN bai 25.xlsx
49	369	KH-CN bai 26.xlsx
69	328	KH-CN bai 27.xlsx
19	211	KH-CN bai 28.xlsx
61	410	KH-CN bai 29.xlsx
37	308	KH-CN bai 30.xlsx
42	348	KH-CN bai 31.xlsx
48	406	KH-CN bai 32.xlsx
63	389	KH-CN bai 33.xlsx
141	716	KH-CN bai 34.xlsx
51	379	KH-CN bai 35.xlsx
32	228	KH-CN bai 36.xlsx
44	337	KH-CN bai 37.xlsx
52	350	KH-CN bai 38.xlsx
41	266	KH-CN bai 39.xlsx
43	319	KH-CN bai 40.xlsx
73	423	KH-CN bai 41.xlsx
