Sentences	Missing Words:
54	464	KT-XH bai 02.xlsx
30	276	KT-XH bai 03.xlsx
27	282	KT-XH bai 04.xlsx
30	296	KT-XH bai 05.xlsx
50	436	KT-XH bai 06.xlsx
65	484	KT-XH bai 07.xlsx
51	465	KT-XH bai 08.xlsx
87	482	KT-XH bai 09.xlsx
55	488	KT-XH bai 10.xlsx
62	526	KT-XH bai 11.xlsx
42	367	KT-XH bai 12.xlsx
54	368	KT-XH bai 17.xlsx
63	469	KT-XH bai 18.xlsx
49	428	KT-XH bai 19.xlsx
39	331	KT-XH bai 20.xlsx
39	331	KT-XH bai 21.xlsx
33	411	KT-XH bai 22.xlsx
72	429	KT-XH bai 23.xlsx
60	456	KT-XH bai 24.xlsx
52	397	KT-XH bai 26.xlsx
41	423	KT-XH bai 27.xlsx
48	390	KT-XH bai 28.xlsx
44	410	KT-XH bai 29.xlsx
36	380	KT-XH bai 30.xlsx
54	425	KT-XH bai 31.xlsx
12	143	KT-XH bai 32.xlsx
74	394	KT-XH bai 33.xlsx
61	391	KT-XH bai 34.xlsx
79	420	KT-XH bai 35.xlsx
205	635	KT-XH bai 36.xlsx
48	270	KT-XH bai 37.xlsx
40	294	KT-XH bai 38.xlsx
14	171	KT-XH bai 39.xlsx
31	281	KT-XH bai 40.xlsx
338	866	KT-XH bai 41.xlsx
84	424	KT-XH bai 42.xlsx
107	511	KT-XH bai 43.xlsx
77	369	KT-XH bai 44.xlsx
35	249	KT-XH bai 45.xlsx
151	549	KT-XH bai 46.xlsx
50	344	KT-XH bai 47.xlsx
45	224	KT-XH bai 48.xlsx
23	221	KT-XH bai 49.xlsx
130	506	KT-XH bai 50.xlsx
19	189	KT-XH bai 51.xlsx
