Sentences	Missing Words:
48	495	TT-CS bai 01.xlsx
36	369	TT-CS bai 02.xlsx
30	276	TT-CS bai 03.xlsx
53	424	TT-CS bai 04.xlsx
44	361	TT-CS bai 05.xlsx
6	91	TT-CS bai 06.xlsx
20	166	TT-CS bai 07.xlsx
38	327	TT-CS bai 08.xlsx
16	210	TT-CS bai 09.xlsx
5	121	TT-CS bai 10.xlsx
9	132	TT-CS bai 11.xlsx
17	188	TT-CS bai 12.xlsx
14	196	TT-CS bai 13.xlsx
11	169	TT-CS bai 14.xlsx
16	144	TT-CS bai 15.xlsx
42	465	TT-CS bai 16.xlsx
16	217	TT-CS bai 17.xlsx
67	521	TT-CS bai 18.xlsx
16	120	TT-CS bai 19.xlsx
61	304	TT-CS bai 20.xlsx
22	158	TT-CS bai 21.xlsx
56	282	TT-CS bai 22.xlsx
16	138	TT-CS bai 23.xlsx
79	307	TT-CS bai 24.xlsx
96	344	TT-CS bai 25.xlsx
143	427	TT-CS bai 26.xlsx
61	386	TT-CS bai 27.xlsx
39	190	TT-CS bai 28.xlsx
75	389	TT-CS bai 29.xlsx
11	110	TT-CS bai 30.xlsx
17	115	TT-CS bai 31.xlsx
15	111	TT-CS bai 32.xlsx
14	109	TT-CS bai 33.xlsx
119	440	TT-CS bai 34.xlsx
24	182	TT-CS bai 35.xlsx
123	289	TT-CS bai 36.xlsx
139	531	TT-CS bai 37.xlsx
23	153	TT-CS bai 38.xlsx
12	126	TT-CS bai 39.xlsx
73	402	TT-CS bai 40.xlsx
63	265	TT-CS bai 41.xlsx
62	342	TT-CS bai 42.xlsx
73	333	TT-CS bai 43.xlsx
73	412	TT-CS bai 44.xlsx
77	487	TT-CS bai 45.xlsx
151	494	TT-CS bai 46.xlsx
50	362	TT-CS bai 47.xlsx
45	212	TT-CS bai 48.xlsx
52	304	TT-CS bai 49.xlsx
16	126	TT-CS bai 50.xlsx
94	493	TT-CS bai 51.xlsx
56	303	TT-CS bai 52.xlsx
117	350	TT-CS bai 53.xlsx
12	129	TT-CS bai 54.xlsx
100	387	TT-CS bai 55.xlsx
66	323	TT-CS bai 56.xlsx
19	157	TT-CS bai 57.xlsx
32	221	TT-CS bai 58.xls
31	186	TT-CS bai 59.xls
123	411	TT-CS bai 60.xlsx
108	389	TT-CS bai 61.xlsx
28	230	TT-CS bai 62.xlsx
135	505	TT-CS bai 63.xlsx
64	353	TT-CS bai 64.xlsx
35	223	TT-CS bai 65.xlsx
26	177	TT-CS bai 66.xls
14	156	TT-CS bai 67.xlsx
31	139	TT-CS bai 68.xlsx
