Sentences	Missing Words:
112	449	VH-TT bai 05.xlsx
30	180	VH-TT bai 06.xlsx
115	390	VH-TT bai 07.xlsx
34	231	VH-TT bai 08.xlsx
25	187	VH-TT bai 09.xlsx
19	158	VH-TT bai 10.xlsx
16	167	VH-TT bai 11.xlsx
34	193	VH-TT bai 12.xlsx
273	534	VH-TT bai 13.xlsx
204	493	VH-TT bai 14.xlsx
243	494	VH-TT bai 15.xlsx
216	611	VH-TT bai 16.xlsx
226	552	VH-TT bai 18.xlsx
59	267	VH-TT bai 19.xlsx
17	142	VH-TT bai 20.xlsx
31	194	VH-TT bai 21.xlsx
18	177	VH-TT bai 22.xlsx
197	689	VH-TT bai 23.xlsx
22	183	VH-TT bai 24.xlsx
93	384	VH-TT bai 25.xlsx
26	169	VH-TT bai 26.xlsx
29	212	VH-TT bai 27.xlsx
98	323	VH-TT bai 28.xlsx
48	253	VH-TT bai 29.xlsx
191	595	VH-TT bai 30.xlsx
16	141	VH-TT bai 31.xlsx
40	265	VH-TT bai 32.xlsx
36	217	VH-TT bai 33.xlsx
47	244	VH-TT bai 34.xlsx
26	200	VH-TT bai 35.xlsx
86	384	VH-TT bai 36.xlsx
66	273	VH-TT bai 37.xlsx
226	549	VH-TT bai 38.xlsx
13	106	VH-TT bai 39.xlsx
